webcams,bitrate,framerate,datetime,sample,cpu
1,30,5,2021-01-26T23:08:01.7809606+01:00,1,08
1,30,5,2021-01-26T23:08:04.2914631+01:00,2,08
1,30,5,2021-01-26T23:08:06.3538181+01:00,3,08
1,30,5,2021-01-26T23:08:08.4418964+01:00,4,08
1,30,5,2021-01-26T23:08:10.5439205+01:00,5,08
1,30,5,2021-01-26T23:08:12.6239579+01:00,6,08
1,30,5,2021-01-26T23:08:14.7444981+01:00,7,08
1,30,5,2021-01-26T23:08:16.8335199+01:00,8,08
1,30,5,2021-01-26T23:08:18.9660578+01:00,9,08
1,30,5,2021-01-26T23:08:21.1254916+01:00,10,08
1,30,5,2021-01-26T23:08:23.1953593+01:00,11,08
1,30,5,2021-01-26T23:08:25.2737070+01:00,12,08
1,30,5,2021-01-26T23:08:27.3457245+01:00,13,08
1,30,5,2021-01-26T23:08:29.4079860+01:00,14,08
1,30,5,2021-01-26T23:08:31.4791473+01:00,15,08
1,30,5,2021-01-26T23:08:33.5627660+01:00,16,08
1,30,5,2021-01-26T23:08:35.6291883+01:00,17,08
1,30,5,2021-01-26T23:08:37.7372637+01:00,18,08
1,30,5,2021-01-26T23:08:39.8278291+01:00,19,08
1,30,5,2021-01-26T23:08:41.9319947+01:00,20,08
2,30,5,2021-01-26T23:10:44.9831419+01:00,1,17
2,30,5,2021-01-26T23:10:47.0542603+01:00,2,17
2,30,5,2021-01-26T23:10:49.1332513+01:00,3,17
2,30,5,2021-01-26T23:10:51.4149440+01:00,4,17
2,30,5,2021-01-26T23:10:53.5663557+01:00,5,17
2,30,5,2021-01-26T23:10:55.6517485+01:00,6,17
2,30,5,2021-01-26T23:10:57.7727304+01:00,7,17
2,30,5,2021-01-26T23:10:59.8718113+01:00,8,17
2,30,5,2021-01-26T23:11:02.0589854+01:00,9,17
2,30,5,2021-01-26T23:11:04.2600036+01:00,10,17
2,30,5,2021-01-26T23:11:06.3870515+01:00,11,17
2,30,5,2021-01-26T23:11:08.4619642+01:00,12,17
2,30,5,2021-01-26T23:11:10.5782661+01:00,13,17
2,30,5,2021-01-26T23:11:12.6586998+01:00,14,17
2,30,5,2021-01-26T23:11:14.7295909+01:00,15,17
2,30,5,2021-01-26T23:11:16.8070249+01:00,16,17
2,30,5,2021-01-26T23:11:18.8982023+01:00,17,17
2,30,5,2021-01-26T23:11:20.9612822+01:00,18,17
2,30,5,2021-01-26T23:11:23.0746270+01:00,19,17
2,30,5,2021-01-26T23:11:25.1401173+01:00,20,17
3,50,10,2021-01-26T23:13:12.3178038+01:00,1,43
3,50,10,2021-01-26T23:13:14.8460553+01:00,2,43
3,50,10,2021-01-26T23:13:16.9269535+01:00,3,43
3,50,10,2021-01-26T23:13:19.0093536+01:00,4,43
3,50,10,2021-01-26T23:13:21.1251643+01:00,5,43
3,50,10,2021-01-26T23:13:23.2166719+01:00,6,43
3,50,10,2021-01-26T23:13:25.3090294+01:00,7,43
3,50,10,2021-01-26T23:13:27.4251706+01:00,8,43
3,50,10,2021-01-26T23:13:29.5001833+01:00,9,43
3,50,10,2021-01-26T23:13:31.6050065+01:00,10,43
3,50,10,2021-01-26T23:13:33.6886072+01:00,11,43
3,50,10,2021-01-26T23:13:35.8020140+01:00,12,43
3,50,10,2021-01-26T23:13:37.8794370+01:00,13,43
3,50,10,2021-01-26T23:13:39.9530395+01:00,14,43
3,50,10,2021-01-26T23:13:42.0245441+01:00,15,43
3,50,10,2021-01-26T23:13:44.1101419+01:00,16,43
3,50,10,2021-01-26T23:13:46.1801893+01:00,17,43
3,50,10,2021-01-26T23:13:48.2618258+01:00,18,43
3,50,10,2021-01-26T23:13:50.5260289+01:00,19,43
3,50,10,2021-01-26T23:13:52.6021923+01:00,20,43
7,40,8,2021-01-26T23:22:28.8671194+01:00,1,81
7,40,8,2021-01-26T23:22:30.9363934+01:00,2,81
7,40,8,2021-01-26T23:22:33.0270303+01:00,3,81
7,40,8,2021-01-26T23:22:35.1041268+01:00,4,81
7,40,8,2021-01-26T23:22:37.1712348+01:00,5,81
7,40,8,2021-01-26T23:22:39.2418051+01:00,6,81
7,40,8,2021-01-26T23:22:41.3214818+01:00,7,81
7,40,8,2021-01-26T23:22:43.3749746+01:00,8,81
7,40,8,2021-01-26T23:22:45.4593336+01:00,9,81
7,40,8,2021-01-26T23:22:47.5592216+01:00,10,81
7,40,8,2021-01-26T23:22:49.6287357+01:00,11,81
7,40,8,2021-01-26T23:22:51.7081482+01:00,12,81
7,40,8,2021-01-26T23:22:53.7742511+01:00,13,81
7,40,8,2021-01-26T23:22:55.8291476+01:00,14,81
7,40,8,2021-01-26T23:22:57.8916492+01:00,15,81
7,40,8,2021-01-26T23:22:59.9515528+01:00,16,81
7,40,8,2021-01-26T23:23:02.0251416+01:00,17,81
7,40,8,2021-01-26T23:23:04.1168169+01:00,18,81
7,40,8,2021-01-26T23:23:06.2044538+01:00,19,81
7,40,8,2021-01-26T23:23:08.2781105+01:00,20,81
